SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,DATE
SUDARSCHEM,EQ,1205.2,1231.7,1192.3,1205.4,1198.7,96727,1172.61,2026-09-17
SUDEEPPHRM,EQ,1107.2,1155.9,1086.2,1105.4,1107.2,263271,2935.04,2026-09-17
SUKHJITS,EQ,160.0,162.95,160.0,160.71,159.22,10305,16.64,2026-09-17
SULA,EQ,136.52,137.57,135.0,135.9,136.52,211637,287.88,2026-09-17
SUMEDHA,EQ,47.44,47.44,42.55,44.61,43.15,1402,0.63,2026-09-17
SUMEETINDS,EQ,9.44,9.98,9.26,9.35,9.73,1527262,145.19,2026-09-17
SUMICHEM,EQ,454.05,458.9,451.5,455.45,454.05,171579,781.47,2026-09-17
SUMIT,EQ,49.81,51.4,47.25,48.66,50.56,21772,10.72,2026-09-17
SUMMITSEC,EQ,1399.0,1399.0,1383.5,1384.8,1391.7,2158,29.97,2026-09-17
SUNCLAY,EQ,1268.8,1268.8,1250.0,1252.8,1257.4,2894,36.29,2026-09-17
SUNDARAM,EQ,1.19,1.22,1.17,1.18,1.17,276086,3.3,2026-09-17
SUNDARMFIN,EQ,4672.4,4725.0,4625.0,4662.8,4672.4,30137,1399.72,2026-09-17
SUNDRMFAST,EQ,1207.7,1236.9,1207.7,1226.7,1219.9,81682,1001.52,2026-09-17
SUNDROP,EQ,657.4,662.0,652.0,657.4,653.15,6188,40.65,2026-09-17
SUNFLAG,EQ,337.1,345.9,337.1,343.7,339.0,86885,297.16,2026-09-17
SUNLOC,EQ,73.49,73.49,73.49,73.49,73.49,20,0.01,2026-09-17
SUNPHARMA,EQ,1853.5,1867.3,1847.4,1867.3,1853.5,1377506,25603.15,2026-09-17
SUNRAKSHAK,EQ,370.0,372.0,360.0,362.1,370.55,5639,20.66,2026-09-17
SUNSHIEL,EQ,1234.9,1250.0,1205.0,1215.7,1213.8,3393,41.86,2026-09-17
SUNSHINE,EQ,365.0,400.05,350.0,394.0,363.7,2910804,11024.43,2026-09-17
